name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,undeletable,DescribeFields,searchLayoutable,triggerable,RecordTypeInfos
AITrustAttribute,,9HO,AI Trust Attribute,AI Trust Attribute,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,false,,,,
AITrustAttrSetup,,8H2,AI Trust Attribute Setup,AI Trust Attribute Setup,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,false,,,,
AnalyticsTaskStatusEvent,,1JX,AnalyticsTaskStatusEvent,AnalyticsTaskStatusEvents,true,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
AnalyticsUserAttrFuncTkn,true,1P3,Analytics User Attribute Function Token,Analytics User Attribute Function Tokens,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,true,
Announcement,,0Bt,Announcement,Announcements,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,,
ApexClass,,01p,Apex Class,Apex Classes,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,false,,,,
ApexComponent,,099,Visualforce Component,Visualforce Components,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,false,,,,
ApexEmailNotification,,06j,Apex Email Notification,Apex Email Notifications,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexLog,,07L,Apex Debug Log,Apex Debug Log,false,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexPage,,066,Visualforce Page,Visualforce Pages,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,false,,,,
ApexPageInfo,,4ve,Apex Page Info,Apex Pages Info,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
ApexTestQueueItem,,709,Apex Test Queue Item,Apex Test Queue Items,true,true,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestResult,,07M,Apex Test Result,Apex Test Results,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestResultLimits,,05n,Apex Test Result Limit,Apex Test Result Limit,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestRunResult,,05m,Apex Test Run Result,Apex Test Run Result,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTestSuite,,05F,Apex Test Suite,Apex Test Suites,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
ApexTrigger,,01q,Apex Trigger,Apex Triggers,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,true,false,,,,
ApexTypeImplementor,,0kt,Apex Type Implementor,Apex Type Implementors,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
AppAnalyticsQueryRequest,,0XI,App Analytics Query Request,App Analytics Query Requests,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,true,,true,true,true,false,true,,,true,
AppDefinition,,06m,App Definition,App Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
AppExtension,,0Mg,App Extension,App Extensions,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,false,,,,
ApplicationSubtypeDefinition,,0tV,Application Subtype Definition,Application Subtype Definitions,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AppMenuItem,,0DS,AppMenuItem,AppMenuItems,false,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AppointmentTopicTimeSlot,true,0mS,Appointment Topic Time Slot,Appointment Topic Time Slots,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,true,
Approval,,806,Approval,Approval,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
ApprovalSubmission,true,9iP,Approval Submission,Approval Submissions,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,false,,,true,
ApprovalSubmissionDetail,true,1XE,Approval Submission Detail,Approval Submission Details,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,false,,,true,
ApprovalWorkItem,true,9jR,Approval Work Item,Approval Work Items,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,false,,,true,
AppTabMember,,06o,App Tab Member,App Tab Members,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
ApptBundleAggrDurDnscale,true,52D,Appointment Bundle Aggregation Duration Downscale,Appointment Bundle Aggregation Duration Downscales,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ApptBundleAggrPolicy,true,7yi,Appointment Bundle Aggregation Policy,Appointment Bundle Aggregation Policies,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ApptBundleConfig,true,3Cv,Appointment Bundle Config,Appointment Bundle Configs,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ApptBundlePolicy,true,7sT,Appointment Bundle Policy,Appointment Bundle Policies,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ApptBundlePolicySvcTerr,true,7b0,Appointment Bundle Policy Service Territory,Appointment Bundle Policy Service Territories,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ApptBundlePropagatePolicy,true,8XA,Appointment Bundle Propagation Policy,Appointment Bundle Propagation Policies,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ApptBundleRestrictPolicy,true,6KP,Appointment Bundle Restriction Policy,Appointment Bundle Restriction Policies,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
ApptBundleSortPolicy,true,0lU,Appointment Bundle Sort Policy,Appointment Bundle Sort Policies,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
asj__VideoComponentSetting__mdt,true,m0I,Video Component Setting,Video Component Settings,false,false,false,false,,,false,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,false,true,false,false,,,,
Asset,true,02i,Asset,Assets,true,true,true,false,,,true,false,false,false,,false,true,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AssetAccountParticipant,true,4W8,Asset Account Participant,Asset Account Participants,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AssetAction,true,4nL,Asset Action,Asset Actions,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,true,false,,true,true,
AssetActionSource,true,4nM,Asset Action Source,Asset Action Sources,false,false,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,true,false,,true,true,
AssetAttribute,,0oV,Asset Attribute,Asset Attributes,true,true,true,false,,,true,false,false,false,,false,false,false,false,,,false,false,true,false,true,,true,false,false,false,false,,,,
AssetContactParticipant,true,4W9,Asset Contact Participant,Asset Contact Participants,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
